feature,coefficient,feature_type
daughters,-0.25938019978249544,word (tfidf)
dave,0.5288797158563681,word (tfidf)
david,-0.48000061456938226,word (tfidf)
davis,-1.3001356486502955,word (tfidf)
day,0.3881352420298498,word (tfidf)
days,0.03486593323940638,word (tfidf)
dead,-0.008286084818327905,word (tfidf)
deadly,-2.566973164653059,word (tfidf)
deal,-1.5346975101184186,word (tfidf)
dear,-2.4016761474295354,word (tfidf)
death,-0.12878400639618076,word (tfidf)
death toll,-0.4625963992848578,word (tfidf)
deaths,0.2131385540872619,word (tfidf)
debate,0.9491362230181184,word (tfidf)
debt,-0.9128226134754367,word (tfidf)
debuts,0.7027533460197979,word (tfidf)
debuts new,1.486294494172079,word (tfidf)
decades,-0.06987698502338621,word (tfidf)
december,0.16041555771059066,word (tfidf)
decide,0.2132643369442915,word (tfidf)
decides,0.279406259537723,word (tfidf)
decision,1.085802097186935,word (tfidf)
declares,1.8153084220462374,word (tfidf)
deep,0.9662937499785326,word (tfidf)
deeply,2.1447706681850542,word (tfidf)
defeat,0.5547157341732362,word (tfidf)
defend,-0.7178687122871966,word (tfidf)
defends,0.4135564075331785,word (tfidf)
defense,0.48940651695117643,word (tfidf)
delicious,1.0869095656094974,word (tfidf)
deliver,0.6365015302234202,word (tfidf)
delivers,0.8884811575176543,word (tfidf)
demand,-0.1151142386022129,word (tfidf)
demands,1.964729881495,word (tfidf)
democracy,-0.38412044743811485,word (tfidf)
democratic,-2.2092657245763783,word (tfidf)
democrats,-1.70097065035073,word (tfidf)
denies,1.0748638205186962,word (tfidf)
department,1.8732799661984014,word (tfidf)
depressed,1.3521913806940382,word (tfidf)
depression,-0.5754495077049362,word (tfidf)
deserve,-0.1366468646936561,word (tfidf)
design,-1.3006853357675145,word (tfidf)
designer,0.36122112756441865,word (tfidf)
desk,2.1596474419815257,word (tfidf)
desperate,2.8748795256664468,word (tfidf)
despite,-0.5024535180457566,word (tfidf)
destroy,0.5342879983503976,word (tfidf)
details,-1.8914398300542177,word (tfidf)
detective,2.1824614260300175,word (tfidf)
determine,1.0740489654820327,word (tfidf)
determined,0.3358131308746198,word (tfidf)
detroit,-0.4795909999668838,word (tfidf)
developing,1.3867235403200657,word (tfidf)
devos,-1.1445224664025055,word (tfidf)
dick,1.5248621489645722,word (tfidf)
did,-0.4345569698567635,word (tfidf)
did know,-0.5608029620422937,word (tfidf)
die,0.1798625977857179,word (tfidf)
died,-0.6049986478116792,word (tfidf)
dies,0.4919476139467114,word (tfidf)
diet,0.4335676228027902,word (tfidf)
difference,0.40740150442878326,word (tfidf)
different,0.7155156988441691,word (tfidf)
difficult,0.6757082644504001,word (tfidf)
digital,-1.1414302225191855,word (tfidf)
dinner,0.5777674801537576,word (tfidf)
direct,-0.29754418477989464,word (tfidf)
directly,0.9086251744282469,word (tfidf)
director,-0.262238833724642,word (tfidf)
dirty,-0.17547064033932824,word (tfidf)
disabled,0.6038985592182591,word (tfidf)
disappointed,2.184145804275208,word (tfidf)
disaster,-1.1324817706508592,word (tfidf)
discover,1.6257834713551884,word (tfidf)
discovered,-0.4259825388781427,word (tfidf)
discrimination,-1.2354825157472418,word (tfidf)
discuss,-0.07322147537810633,word (tfidf)
disease,-0.10744960268688293,word (tfidf)
disgusting,0.6034422815110088,word (tfidf)
disney,0.6428465172428562,word (tfidf)
disorder,-0.529569231821947,word (tfidf)
ditch,-0.11163567784956693,word (tfidf)
diversity,-0.2624590108718049,word (tfidf)
divorce,-0.39177971193094213,word (tfidf)
divorced,0.42852696710686994,word (tfidf)
dnc,1.0446567115924719,word (tfidf)
doctor,1.0056276303539948,word (tfidf)
doctors,0.5071046058200626,word (tfidf)
documentary,0.29822211786677066,word (tfidf)
documents,-1.009187411354419,word (tfidf)
does,0.37113756283735694,word (tfidf)
does want,0.44591639363215235,word (tfidf)
dog,-0.5642333616180926,word (tfidf)
dogs,-0.6829512802693353,word (tfidf)
doing,0.9793887675398025,word (tfidf)
dollar,1.0368908647646922,word (tfidf)
domestic,-1.7853291605973192,word (tfidf)
domestic violence,-1.321248668043647,word (tfidf)
don,-0.4364523705890686,word (tfidf)
donald,-2.9323513062640316,word (tfidf)
donald trump,-2.9857773992885024,word (tfidf)
donors,-0.3241430579675786,word (tfidf)
door,0.10037801794385973,word (tfidf)
double,0.3724644983171825,word (tfidf)
dozens,0.6664346494444959,word (tfidf)
dr,-0.6583827933274209,word (tfidf)
drag,-1.7276429275368839,word (tfidf)
drag race,-0.700056240418085,word (tfidf)
drake,-2.0255241570524465,word (tfidf)
drama,-0.31139743163529937,word (tfidf)
drawer,1.7537415368272489,word (tfidf)
drawing,0.8826688841787292,word (tfidf)
dream,0.43755837317650725,word (tfidf)
dreamers,-1.4774818214305698,word (tfidf)
dreams,0.9997193028619029,word (tfidf)
dress,-0.4422780978582658,word (tfidf)
dressed,0.15323224275723513,word (tfidf)
drink,-0.8249793578209607,word (tfidf)
drinking,0.42850273597886074,word (tfidf)
drive,0.38690171580236177,word (tfidf)
driver,1.9390813584353568,word (tfidf)
drivers,-1.502190084988822,word (tfidf)
driving,-1.3502643444040177,word (tfidf)
drone,1.579564668290898,word (tfidf)
drop,0.6328267064246239,word (tfidf)
dropped,0.04596289113274135,word (tfidf)
drops,-0.2824114933674073,word (tfidf)
drug,-0.8103459245748347,word (tfidf)
drugs,0.016894302871145742,word (tfidf)
drunk,-0.23658423646585064,word (tfidf)
dumb,-0.09533644090526183,word (tfidf)
dunham,-0.4605786098738217,word (tfidf)
duty,0.4519763170800013,word (tfidf)
dvd,2.150312008847256,word (tfidf)
dying,-0.7667933021162676,word (tfidf)
early,0.8716016311775951,word (tfidf)
earth,0.8946341884851808,word (tfidf)
earthquake,0.2835171245644386,word (tfidf)
easier,-0.7128860451785393,word (tfidf)
east,0.812306050922083,word (tfidf)
easter,-1.4490596034186776,word (tfidf)
easy,-0.9048487279210715,word (tfidf)
eat,-0.33591024155013316,word (tfidf)
eating,0.04617433525672678,word (tfidf)
eats,0.884860641200687,word (tfidf)
ebola,-2.089775282521275,word (tfidf)
economic,0.45271632177976073,word (tfidf)
economy,-0.02714753898596149,word (tfidf)
ed,0.05040985949719085,word (tfidf)
edge,0.740082470417451,word (tfidf)
edition,1.055317737603313,word (tfidf)
editor,0.5505874120275831,word (tfidf)
education,-1.8522679524110843,word (tfidf)
effective,-0.4299759904069415,word (tfidf)
effects,-0.7363576492081388,word (tfidf)
effort,-0.044552294849317914,word (tfidf)
egg,-0.6015200216172158,word (tfidf)
elderly,1.9820782481541144,word (tfidf)
elected,0.462353648462463,word (tfidf)
election,-0.913549935123459,word (tfidf)
elections,-1.778559913744335,word (tfidf)
electric,-0.44106692323742336,word (tfidf)
elizabeth,1.2883266938192186,word (tfidf)
elizabeth warren,-0.8695727668637021,word (tfidf)
ellen,-0.7830442207843562,word (tfidf)
elon,-0.017683625547665976,word (tfidf)
email,-1.5197847007710068,word (tfidf)
emails,-1.3792026340532524,word (tfidf)
embarrassed,1.6049412428650867,word (tfidf)
embarrassing,0.05596618213468911,word (tfidf)
emergency,0.3889354486572554,word (tfidf)
emotional,-0.3936283925873782,word (tfidf)
employee,2.231288183110948,word (tfidf)
employees,2.3663032539527102,word (tfidf)
encouraging,1.204602700674956,word (tfidf)
end,-0.2625734049907349,word (tfidf)
endangered,-1.8556520066650075,word (tfidf)
ending,-0.2919548853921959,word (tfidf)
endorsement,-0.5314303200892152,word (tfidf)
endorses,0.7982697484443487,word (tfidf)
ends,0.9207683311961168,word (tfidf)
energy,0.2546411632873937,word (tfidf)
engagement,-0.9361340179062522,word (tfidf)
english,0.9904963975738283,word (tfidf)
enjoy,1.0661523938448083,word (tfidf)
enjoying,1.1174854693597238,word (tfidf)
enjoys,1.4147136279449706,word (tfidf)
enter,-0.5129563514011096,word (tfidf)
enters,0.8932060192032996,word (tfidf)
entertainment,1.6993019781659007,word (tfidf)
entire,2.402938746786587,word (tfidf)
entirely,1.3097909461127297,word (tfidf)
environment,0.02289784180829067,word (tfidf)
epa,0.3159026040271819,word (tfidf)
epic,-1.8751986422711024,word (tfidf)
epidemic,-0.8892923692553925,word (tfidf)
episode,2.851404636961657,word (tfidf)
equal,-0.24026205610694557,word (tfidf)
equality,-1.2814062003780535,word (tfidf)
era,-0.7880376784461126,word (tfidf)
eric,1.5948218730106123,word (tfidf)
eric trump,2.307245945262306,word (tfidf)
escape,-0.7467524930291796,word (tfidf)
essay,0.2102885035941305,word (tfidf)
estate,1.089124972088703,word (tfidf)
ethics,-1.1249755518426363,word (tfidf)
eu,-1.2101744178304437,word (tfidf)
europe,-1.4077191604391555,word (tfidf)
eve,0.07081198769071353,word (tfidf)
event,-0.5856316017909659,word (tfidf)
evidence,1.5038856872891546,word (tfidf)
ex,-0.5219485258145712,word (tfidf)
exactly,1.5793006111765648,word (tfidf)
exchange,1.6956259767615007,word (tfidf)
excited,3.3029723412144967,word (tfidf)
exclusive,0.1770126443883844,word (tfidf)
execution,-0.6653312371836959,word (tfidf)
executive,1.1807295801185391,word (tfidf)
exercise,-0.5759554616991064,word (tfidf)
exhausted,1.7934640734398315,word (tfidf)
exhibit,0.5911247691631929,word (tfidf)
exist,0.8507382238679242,word (tfidf)
exit,-0.6184860528548514,word (tfidf)
expect,-1.46170970902938,word (tfidf)
expected,1.0483064840314935,word (tfidf)
expecting,-0.7423100804875418,word (tfidf)
expensive,0.48377096593970786,word (tfidf)
experience,1.2181698003649941,word (tfidf)
experiment,-0.22212210101633492,word (tfidf)
expert,0.12054375914877315,word (tfidf)
experts,1.944084273058014,word (tfidf)
explain,-0.15494186913981547,word (tfidf)
explains,-0.872330429760015,word (tfidf)
explosion,-0.1422901401164438,word (tfidf)
extra,0.39123564578785586,word (tfidf)
extremely,1.4930734817228215,word (tfidf)
eye,0.30062488813164695,word (tfidf)
eyed,1.5646209020741075,word (tfidf)
eyes,1.954903559329382,word (tfidf)
face,0.12173790426901444,word (tfidf)
facebook,-0.791175291795808,word (tfidf)
faces,-0.7896200477523316,word (tfidf)
fact,0.41927647806191487,word (tfidf)
factory,1.1275733358214266,word (tfidf)
facts,-1.7323865535168912,word (tfidf)
fail,-0.938268624157312,word (tfidf)
failed,0.7147158332553912,word (tfidf)
failing,-0.29700038108832444,word (tfidf)
fails,0.6718489510215749,word (tfidf)
failure,-0.5256942329100497,word (tfidf)
fair,-0.5122907277256201,word (tfidf)
faith,-1.4487440329902253,word (tfidf)
fake,-2.2603415474269086,word (tfidf)
fall,-0.8854299934233044,word (tfidf)
falling,1.0266649020697338,word (tfidf)
fallon,-1.1375591384803774,word (tfidf)
falls,0.07536964690322634,word (tfidf)
false,-0.4140804970506107,word (tfidf)
fame,0.7208517617634123,word (tfidf)
families,-1.7895834293509902,word (tfidf)
family,1.3898845657366627,word (tfidf)
famous,0.15486653920766016,word (tfidf)
fan,1.8829891259133753,word (tfidf)
fans,0.09515190721776329,word (tfidf)
fantasy,0.7065368182171876,word (tfidf)
far,0.22325192420864193,word (tfidf)
farm,0.29861421901185814,word (tfidf)
fashion,-1.6514794327078126,word (tfidf)
fast,0.38534896757641585,word (tfidf)
fat,0.17460122600372835,word (tfidf)
father,1.250251999172328,word (tfidf)
father day,-0.049950598504922505,word (tfidf)
favor,0.38084748663865464,word (tfidf)
favorite,0.007799539367994085,word (tfidf)
fbi,1.0114072501963873,word (tfidf)
fcc,0.8841480850334534,word (tfidf)
fda,1.0941269450032975,word (tfidf)
fear,-0.6484201256593188,word (tfidf)
fears,-0.860049678704174,word (tfidf)
feature,1.7287941043759776,word (tfidf)
features,1.1342790093350745,word (tfidf)
february,-0.5186788727957831,word (tfidf)
fed,0.4126442334149315,word (tfidf)
federal,-0.3724149701864011,word (tfidf)
feel,-0.07550061494740894,word (tfidf)
feeling,1.68216763026674,word (tfidf)
feelings,-0.30544124394008065,word (tfidf)
feels,1.8081569202376193,word (tfidf)
feels like,0.648452962366985,word (tfidf)
feet,1.0996594125942487,word (tfidf)
female,-1.0534297577751512,word (tfidf)
feminist,-1.7496559534228258,word (tfidf)
ferguson,-1.7302049175671532,word (tfidf)
festival,-1.330364612201809,word (tfidf)
field,-0.008071634076724529,word (tfidf)
fifth,1.061384429362167,word (tfidf)
fight,-1.1203826552875698,word (tfidf)
fighting,-0.8339982249688689,word (tfidf)
figure,1.3934408250334693,word (tfidf)
figures,1.4280733864698207,word (tfidf)
files,0.6834685626827158,word (tfidf)
filled,1.4617092149434618,word (tfidf)
film,1.1367416262313432,word (tfidf)
films,1.2066026959120406,word (tfidf)
final,0.11401718216369212,word (tfidf)
finale,0.735430000640841,word (tfidf)
finally,1.638727617375294,word (tfidf)
financial,-0.2581103321110287,word (tfidf)
finding,-1.0322034407939409,word (tfidf)
finds,0.4368589992833219,word (tfidf)
fine,0.9054079341315721,word (tfidf)
finger,0.7724699193606972,word (tfidf)
finish,0.7936224154916941,word (tfidf)
fired,-1.4590382552362373,word (tfidf)
fires,0.08281976368539909,word (tfidf)
firing,-0.8685833257246259,word (tfidf)
fish,1.1086795756504928,word (tfidf)
fit,-0.05969193162655308,word (tfidf)
fitness,-0.512712423348534,word (tfidf)
fix,-0.8231474999019649,word (tfidf)
flag,1.2107179604484681,word (tfidf)
flavor,0.05504672766979192,word (tfidf)
flight,0.14738475649997562,word (tfidf)
flip,-0.6141890316850032,word (tfidf)
floor,1.5845913722522562,word (tfidf)
florida,-0.9878933870930481,word (tfidf)
flu,0.9289891546525703,word (tfidf)
fly,0.9855686120172601,word (tfidf)
flying,0.16890988749760352,word (tfidf)
focus,0.09701055259279111,word (tfidf)
follow,0.9421483712860943,word (tfidf)
following,0.5133850529013314,word (tfidf)
food,-0.016495106542553577,word (tfidf)
foot,0.49974009449884926,word (tfidf)
footage,1.0781311097544386,word (tfidf)
football,-0.8642903468058387,word (tfidf)
force,0.4385746915514698,word (tfidf)
forced,3.1199492665969095,word (tfidf)
forces,1.213288328355943,word (tfidf)
ford,1.5859973899312891,word (tfidf)
foreign,-1.076497850261996,word (tfidf)
foreign policy,-0.6810814597590897,word (tfidf)
forever,1.0058049379744793,word (tfidf)
forget,-0.44664967716786463,word (tfidf)
forgot,0.9706753062050788,word (tfidf)
forgotten,-0.8385968952210737,word (tfidf)
form,0.4362456074709454,word (tfidf)
forward,0.9385285012423676,word (tfidf)
foundation,0.09222561451171465,word (tfidf)
founder,-1.0727621664680693,word (tfidf)
fourth,0.644388034056873,word (tfidf)
fox,0.19726849866308954,word (tfidf)
fox news,-0.43465757312233644,word (tfidf)
france,-2.364528629875155,word (tfidf)
francis,0.4925710261494637,word (tfidf)
francisco,-0.36754033170420314,word (tfidf)
frantically,1.9741078066773636,word (tfidf)
fraud,-2.4642141135429547,word (tfidf)
freak,-0.45150772416229434,word (tfidf)
freaking,-0.17972350744988563,word (tfidf)
free,-0.3195600684128391,word (tfidf)
freedom,-1.4515155991422939,word (tfidf)
french,-0.7729708109167452,word (tfidf)
fresh,0.2970155184785643,word (tfidf)
freshman,1.136106049549122,word (tfidf)
friday,-0.7130260154296056,word (tfidf)
friday morning,-0.54187113700268,word (tfidf)
friend,2.562438128073273,word (tfidf)
friendly,-0.08091531268070666,word (tfidf)
friends,2.450612808688185,word (tfidf)
friendship,0.059749961808316744,word (tfidf)
frozen,-2.136150300046963,word (tfidf)
fruit,0.9704889782796157,word (tfidf)
frustrated,2.0267856613884825,word (tfidf)
fuck,3.839407166274904,word (tfidf)
fucking,4.657295522911146,word (tfidf)
fully,1.7088849356735338,word (tfidf)
fun,0.741360876712266,word (tfidf)
fund,1.019463696828928,word (tfidf)
funding,-0.26244436042883734,word (tfidf)
fundraising,0.04254690042891164,word (tfidf)
funds,1.2101918056401135,word (tfidf)
funeral,1.3899614702329115,word (tfidf)
funniest,-1.1187099237437645,word (tfidf)
funniest tweets,-0.7396080981368502,word (tfidf)
funny,0.3714710341827482,word (tfidf)
furious,1.8126289472574988,word (tfidf)
future,-0.5253446928055993,word (tfidf)
gaga,-1.1646222042967451,word (tfidf)
gala,-0.3194031816312019,word (tfidf)
game,0.004526912606095588,word (tfidf)
game thrones,0.5817052782431064,word (tfidf)
games,0.4674626662772058,word (tfidf)
gap,-1.1067652231363092,word (tfidf)
garden,0.7151881839057983,word (tfidf)
gas,0.44486881472612716,word (tfidf)
gates,1.4677334597783633,word (tfidf)
gather,1.2383941309190099,word (tfidf)
gave,-2.3555734177408745,word (tfidf)
gay,-1.1772568484437833,word (tfidf)
gay marriage,0.40621762279623014,word (tfidf)
gay men,-0.8961462443038152,word (tfidf)
gaza,-0.6436140165064875,word (tfidf)
gender,-1.0276979336104446,word (tfidf)
general,1.5035665718305622,word (tfidf)
generation,-0.7590621246105609,word (tfidf)
genius,-1.0530334736296898,word (tfidf)
george,0.9638440079935848,word (tfidf)
george bush,-1.1841874439392026,word (tfidf)
georgia,-1.000010739908589,word (tfidf)
german,0.4241596523400311,word (tfidf)
gets,0.05397184295598759,word (tfidf)
getting,0.19181334136842593,word (tfidf)
ghost,0.7335820093629665,word (tfidf)
giant,0.9188784954804496,word (tfidf)
gift,-0.14212182384491132,word (tfidf)
gifts,-1.5254582590002905,word (tfidf)
gilmore,-0.4503884745830699,word (tfidf)
gingrich,1.4245146869183363,word (tfidf)
girl,-1.082155234049197,word (tfidf)
girlfriend,1.5510196637478388,word (tfidf)
girls,-1.7758661479739037,word (tfidf)
giuliani,1.5737368983076228,word (tfidf)
given,2.141915794100086,word (tfidf)
gives,-0.44625545697019536,word (tfidf)
giving,-1.1417462157785403,word (tfidf)
glad,2.096844109456487,word (tfidf)
glass,1.1629918748698256,word (tfidf)
glasses,0.35109998879807314,word (tfidf)
glimpse,0.5389993431197221,word (tfidf)
global,-1.669239795358418,word (tfidf)
globes,-0.7745469162518522,word (tfidf)
god,3.298701158432125,word (tfidf)
goddamn,2.4161738653520053,word (tfidf)
goes,0.07701582828817749,word (tfidf)
going,1.7209217198027085,word (tfidf)
gold,-1.375685495911091,word (tfidf)
golden,0.7077464855489146,word (tfidf)
golden globes,-0.6477642242773417,word (tfidf)
golf,-0.6505699062220026,word (tfidf)
gone,0.7666483112817893,word (tfidf)
good,1.4355060872644607,word (tfidf)
goodbye,-1.7519743024026098,word (tfidf)
google,-0.8902449170339911,word (tfidf)
gop,-1.6214251794520176,word (tfidf)
gop congressman,-1.6343795039818445,word (tfidf)
gore,1.1383320170267734,word (tfidf)
gorgeous,-1.5572114163975246,word (tfidf)
gorsuch,-0.566651080768013,word (tfidf)
got,-0.2612674174076815,word (tfidf)
gov,-1.017231410635646,word (tfidf)
government,0.2075330265493655,word (tfidf)
governor,0.008277327680062218,word (tfidf)
gps,-1.4256562817225484,word (tfidf)
gps guide,-1.0917036866403673,word (tfidf)
grace,-0.11353499254607788,word (tfidf)
grade,2.2968031298973774,word (tfidf)
grader,2.0916426218475332,word (tfidf)
graduates,-0.2089321367469314,word (tfidf)
graham,-0.9667026945305531,word (tfidf)
grammys,0.1447304142950547,word (tfidf)
grand,-0.7650191604944627,word (tfidf)
grandfather,1.9218937217295324,word (tfidf)
grandma,1.496576646135749,word (tfidf)
grandmother,1.832520904544958,word (tfidf)
grateful,0.5143930725171795,word (tfidf)
grave,1.2475348712336791,word (tfidf)
great,0.1760138340139374,word (tfidf)
greatest,0.3855385266959716,word (tfidf)
greece,-1.7099785185037932,word (tfidf)
green,0.1059982566917915,word (tfidf)
gross,-1.0391317044671862,word (tfidf)
ground,0.4288593214985105,word (tfidf)
group,0.934090439431087,word (tfidf)
groups,-0.6469808799123483,word (tfidf)
grow,0.2258960015207524,word (tfidf)
growing,-1.2335763306226364,word (tfidf)
grown,-0.8480127728983345,word (tfidf)
guard,0.9339455042006598,word (tfidf)
guest,1.3229879215724436,word (tfidf)
guests,1.82281634204723,word (tfidf)
guide,-2.3028912004098614,word (tfidf)
guilty,-0.16938514698971216,word (tfidf)
gun,-1.6719720466969843,word (tfidf)
gun control,-0.5841280458299517,word (tfidf)
gun violence,-0.9797896858112528,word (tfidf)
gunman,0.5194152930606005,word (tfidf)
guns,-0.9850773674698288,word (tfidf)
guy,3.634923728503093,word (tfidf)
guys,0.14259652046285762,word (tfidf)
gym,1.0822186760793298,word (tfidf)
habits,-1.9517247121680812,word (tfidf)
hackers,-1.3993993970282435,word (tfidf)
hair,0.8817463053904984,word (tfidf)
half,1.240139326035392,word (tfidf)
hall,1.3273832707245863,word (tfidf)
halloween,-1.9615759405680393,word (tfidf)
hamilton,-0.9283322766840806,word (tfidf)
hampshire,-0.21207260423855753,word (tfidf)
hand,2.2303231731597326,word (tfidf)
handle,-0.0008031645662253882,word (tfidf)
hands,2.332454089243247,word (tfidf)
happen,-0.19738649471750533,word (tfidf)
happened,-0.6819040711869813,word (tfidf)
happens,-0.8290982867391603,word (tfidf)
happiness,-2.2038657721867962,word (tfidf)
happy,-0.5849252833385447,word (tfidf)
harassment,-0.6349589878407316,word (tfidf)
hard,0.49430741280431034,word (tfidf)
harder,-0.8469188208738516,word (tfidf)
harry,-0.16309085755174868,word (tfidf)
harry potter,-0.398993268093065,word (tfidf)
harvey,-3.2555213449098255,word (tfidf)
harvey weinstein,-0.5423734452720518,word (tfidf)
hat,0.11816551203558608,word (tfidf)
hate,-1.6090957653367242,word (tfidf)
hates,0.31647193469413976,word (tfidf)
having,0.5795401579871094,word (tfidf)
hawaii,-2.9998485147804295,word (tfidf)
head,0.9104434871383557,word (tfidf)
headquarters,1.5547251168572354,word (tfidf)
heads,-0.3691110201747827,word (tfidf)
health,-2.753904730983699,word (tfidf)
health care,-1.0682463605840395,word (tfidf)
healthcare,0.5153138446074158,word (tfidf)
healthy,-0.8080783923682953,word (tfidf)
hear,0.09058381738618242,word (tfidf)
heard,-0.8026466460930355,word (tfidf)
hearing,1.0479870345503532,word (tfidf)
heart,0.062295987353223996,word (tfidf)
heartbreaking,0.5340100077119367,word (tfidf)
heat,0.6740955537607002,word (tfidf)
heaven,1.3509929866938268,word (tfidf)
held,-0.26618208805432697,word (tfidf)
hell,0.008824911461195954,word (tfidf)
help,-1.468674937457584,word (tfidf)
helped,-2.238192661509917,word (tfidf)
helping,-1.6191561702182147,word (tfidf)
helps,-1.0988750599562562,word (tfidf)
hero,0.4618846582521776,word (tfidf)
heroes,-0.9576657846438974,word (tfidf)
heroin,-0.18980700978280843,word (tfidf)
hide,0.1119458085554142,word (tfidf)
high,1.434084086956685,word (tfidf)
high school,-0.9007101770628106,word (tfidf)
higher,-1.520234255488913,word (tfidf)
highly,1.0409432081488446,word (tfidf)
highway,-0.2664311708361936,word (tfidf)
hilarious,-0.981984830053712,word (tfidf)
hill,-1.4221825229755132,word (tfidf)
hillary,-1.713787052238912,word (tfidf)
hillary clinton,-1.7386413065385542,word (tfidf)
hints,-0.23413932818848004,word (tfidf)
hires,0.14598696953519769,word (tfidf)
hiring,-1.0299528604562895,word (tfidf)
historic,-0.9520253453083908,word (tfidf)
historical,1.6137614325219038,word (tfidf)
historical archives,2.167392806964809,word (tfidf)
history,-0.8265195539126219,word (tfidf)
hit,1.0918051536624827,word (tfidf)
hits,-1.0185816936494718,word (tfidf)
hitting,0.6333614336487868,word (tfidf)
hiv,-1.4950451032178973,word (tfidf)
hold,-0.22976787952662758,word (tfidf)
holding,-0.11843804457564708,word (tfidf)
holds,0.6841268543097566,word (tfidf)
hole,-0.2513174403776319,word (tfidf)
holiday,-2.3339709224461873,word (tfidf)
holidays,-1.3595031926189343,word (tfidf)
hollywood,-1.6108277525398988,word (tfidf)
holy,0.1476066972205129,word (tfidf)
home,-0.1785966759052657,word (tfidf)
homeless,-1.682152845345709,word (tfidf)
homes,-1.2704675328668984,word (tfidf)
hometown,0.2877195932975773,word (tfidf)
honor,0.2405320102099597,word (tfidf)
honored,0.7086015660194029,word (tfidf)
honors,2.575177455619315,word (tfidf)
hope,0.253733345911456,word (tfidf)
hopes,0.7407069516078136,word (tfidf)
hoping,2.842862061816801,word (tfidf)
horrible,0.3998746888158862,word (tfidf)
horrified,2.3867457855704433,word (tfidf)
horrifying,0.7364376566673414,word (tfidf)
horror,-2.0934602397100863,word (tfidf)
horse,0.9692626263679697,word (tfidf)
hospital,-1.1550497005326623,word (tfidf)
host,0.6393587431937553,word (tfidf)
hosts,-0.12794886637916666,word (tfidf)
hot,0.5193099674630386,word (tfidf)
hotel,-0.5521086481703744,word (tfidf)
hour,0.6941685014288569,word (tfidf)
hours,2.82125461486297,word (tfidf)
house,0.7964582077111892,word (tfidf)
howard,-0.6690893504279449,word (tfidf)
huckabee,0.9173502634152587,word (tfidf)
huckabee sanders,0.8757395865986612,word (tfidf)
huffpollster,-1.6076406770638152,word (tfidf)
huffpost,-2.3766363342711494,word (tfidf)
huffpost hill,-0.8907505102338747,word (tfidf)
huffpost rise,-0.4165292724260238,word (tfidf)
huge,0.8445120967519909,word (tfidf)
human,0.9168219156549602,word (tfidf)
human rights,-0.3128021224482198,word (tfidf)
humanity,1.024883554376851,word (tfidf)
humans,1.0136145736265636,word (tfidf)
hundreds,0.45141389461133624,word (tfidf)
hunger,-0.40820208890325577,word (tfidf)
hunt,-0.06354100225631956,word (tfidf)
hurricane,0.9987855765916711,word (tfidf)
hurt,-0.7373007570943033,word (tfidf)
husband,0.5768113477841781,word (tfidf)
hypocrisy,-1.7539140771988841,word (tfidf)
ice,1.316202849674317,word (tfidf)
ice cream,-0.12964914577712652,word (tfidf)
iconic,-2.033984380964764,word (tfidf)
idea,1.444374302468688,word (tfidf)
ideas,-1.2598117179956618,word (tfidf)
identity,-1.3589797383020128,word (tfidf)
idiot,1.0849304737557226,word (tfidf)
ii,0.17667939754096362,word (tfidf)
ill,1.0860219066503662,word (tfidf)
illegal,0.1476694086440983,word (tfidf)
illinois,0.2762609123511655,word (tfidf)
illness,-1.0369054029672036,word (tfidf)
image,1.178492953065609,word (tfidf)
images,-1.3536603083943202,word (tfidf)
imagine,0.4783146512900513,word (tfidf)
immediately,1.5267192389963369,word (tfidf)
immigrant,-0.32772049595486274,word (tfidf)
immigrants,-0.17107006514100281,word (tfidf)
immigration,-1.92408267403892,word (tfidf)
impact,-0.8229150263126802,word (tfidf)
importance,-1.4475138067419495,word (tfidf)
important,-1.031538290289675,word (tfidf)
impossible,-0.425397166148588,word (tfidf)
impressed,1.8794077420627684,word (tfidf)
impression,0.2932107121134106,word (tfidf)
improve,-0.7835776129081717,word (tfidf)
inauguration,-1.0056215464308655,word (tfidf)
incident,-0.03193258684429503,word (tfidf)
income,0.2995152770190679,word (tfidf)
increase,1.1801231243552637,word (tfidf)
increases,1.0296586007454973,word (tfidf)
increasingly,0.1485176269226826,word (tfidf)
incredible,-0.5292851129689876,word (tfidf)
independence,-2.5103678332363684,word (tfidf)
independent,0.19835569381270113,word (tfidf)
india,0.0018695771100680834,word (tfidf)
indian,0.23714316908421265,word (tfidf)
industry,-0.12917807381528362,word (tfidf)
inequality,-0.9892077645794576,word (tfidf)
information,-0.17362797396212046,word (tfidf)
injured,-0.7329709865506971,word (tfidf)
inmate,-0.8661229080735106,word (tfidf)
inmates,-0.26200091386035396,word (tfidf)
inner,-0.5287381255639798,word (tfidf)
insane,-0.4523966703165612,word (tfidf)
inside,1.4306019034482644,word (tfidf)
insists,1.6719611058097086,word (tfidf)
inspired,-0.2538549043721229,word (tfidf)
inspires,1.0474772084329114,word (tfidf)
inspiring,-0.9801245311049213,word (tfidf)
instagram,-2.7475404045871428,word (tfidf)
instead,-0.17763744337937495,word (tfidf)
insurance,2.1496958973626477,word (tfidf)
intelligence,-0.307607302088701,word (tfidf)
intended,1.7288348166102994,word (tfidf)
interior,0.2269789018350492,word (tfidf)
international,-0.7323963375253171,word (tfidf)
internet,-0.11378912924789301,word (tfidf)
interview,-1.2321041441107201,word (tfidf)
introduces,4.145690293290287,word (tfidf)
