feature,coefficient,feature_type
anthem,-0.499280648426818,word (tfidf)
anti,-1.4789725339117958,word (tfidf)
anxiety,-1.0577039141846716,word (tfidf)
anymore,1.181845769578199,word (tfidf)
apart,0.909341376818849,word (tfidf)
apartment,2.8767182725155203,word (tfidf)
apologizes,0.6189138262555484,word (tfidf)
apology,0.08097940688574383,word (tfidf)
app,-0.2715510042292948,word (tfidf)
apparently,1.4984324717847717,word (tfidf)
appear,0.09587331483520148,word (tfidf)
appearance,0.5849557478970359,word (tfidf)
appears,-0.47011776986464293,word (tfidf)
apple,-0.4292557890062958,word (tfidf)
approval,1.2300572431618666,word (tfidf)
approves,0.5991079909740569,word (tfidf)
april,-1.3960524948628,word (tfidf)
arabia,0.2983526872449592,word (tfidf)
archaeologists,1.9246876643530275,word (tfidf)
archives,2.191028337684022,word (tfidf)
arctic,-0.6905986765750362,word (tfidf)
area,6.237560901372767,word (tfidf)
area dad,1.1764757537348642,word (tfidf)
area man,2.423152606277043,word (tfidf)
area woman,1.8609514950228072,word (tfidf)
argument,0.24253302613304795,word (tfidf)
arizona,0.04154458392290743,word (tfidf)
arm,0.8218895139180767,word (tfidf)
armed,-0.1085641584961201,word (tfidf)
arms,0.1305264743240003,word (tfidf)
army,-0.4729301726037799,word (tfidf)
arrest,-1.2586593866595204,word (tfidf)
arrested,-1.5411241232958404,word (tfidf)
art,-1.2161268461630734,word (tfidf)
article,1.9219177697431813,word (tfidf)
artist,-1.3551112044924485,word (tfidf)
artists,-1.8972768503068986,word (tfidf)
asian,-1.1865179153400454,word (tfidf)
aside,0.8171026702200309,word (tfidf)
ask,-0.6042845165247728,word (tfidf)
asked,1.1052085327215047,word (tfidf)
asking,-0.4575664928433529,word (tfidf)
asks,2.436483533261249,word (tfidf)
ass,3.004746494260556,word (tfidf)
assad,-0.22193422929965645,word (tfidf)
assault,-1.4442908359028694,word (tfidf)
asshole,3.006093484929532,word (tfidf)
assistant,2.0060824010907314,word (tfidf)
assures,3.2615516285199195,word (tfidf)
attack,-1.836268663021694,word (tfidf)
attacks,-1.1234441963244868,word (tfidf)
attempt,1.3008336491120613,word (tfidf)
attempting,1.604773698493776,word (tfidf)
attempts,0.44059794868063024,word (tfidf)
attend,-0.7108734426070911,word (tfidf)
attention,0.32339593859536003,word (tfidf)
attorney,-0.20704853586221364,word (tfidf)
attractive,1.3307067030578486,word (tfidf)
audience,2.5466558198776963,word (tfidf)
aunt,1.7341087152254817,word (tfidf)
australia,-0.5313626892984701,word (tfidf)
australian,-1.5248953298897805,word (tfidf)
author,-0.13095070619296145,word (tfidf)
authorities,1.6826484361554324,word (tfidf)
available,2.606364536055179,word (tfidf)
average,1.7736355285139156,word (tfidf)
average american,0.6780451978567835,word (tfidf)
avoid,-1.1047885220886202,word (tfidf)
award,0.9210549991649379,word (tfidf)
awards,0.27470497387804266,word (tfidf)
awareness,0.2302865359985075,word (tfidf)
away,1.6342783930394853,word (tfidf)
awesome,0.15907325265891986,word (tfidf)
awful,-0.38941921901608517,word (tfidf)
awkward,-0.8775629151948646,word (tfidf)
babies,-0.8201264722216662,word (tfidf)
baby,-0.4235678649765756,word (tfidf)
bachelor,-1.1628407509017458,word (tfidf)
backed,-0.7645284700888164,word (tfidf)
bacon,-0.605250787506689,word (tfidf)
bad,-0.526809127614187,word (tfidf)
bag,2.045501937581836,word (tfidf)
baldwin,0.5312609307125941,word (tfidf)
ball,0.503218043521973,word (tfidf)
baltimore,-0.20066580670280712,word (tfidf)
ban,-0.7886410388094163,word (tfidf)
band,1.311845596301331,word (tfidf)
bank,0.43723894888315523,word (tfidf)
banks,-1.934674609025734,word (tfidf)
bannon,0.7144405876587998,word (tfidf)
bans,0.1627221280500892,word (tfidf)
bar,3.050688535459226,word (tfidf)
barack,-0.5059079787733728,word (tfidf)
barack obama,-0.4425470167378938,word (tfidf)
barely,1.3451078445702311,word (tfidf)
base,0.9779127503971992,word (tfidf)
baseball,0.4751833597407815,word (tfidf)
based,1.310067299573042,word (tfidf)
basketball,-0.8287015816601097,word (tfidf)
bathroom,0.8878729925759811,word (tfidf)
battle,-0.2994115152447115,word (tfidf)
beach,-0.436346127995231,word (tfidf)
bear,0.5505487927865751,word (tfidf)
