,accuracy,precision,recall,f1
naive_bayes,0.7800489168413697,0.7795125666412795,0.7506417308397506,0.7648047823650289
logistic_regression,0.8055555555555556,0.799554565701559,0.7898789878987899,0.7946873270614278
svm,0.7989168413696716,0.7996197718631178,0.7711771177117712,0.7851409370916558
voting_ensemble,0.8053808525506638,0.8037664783427495,0.7825449211587825,0.7930137495354886
